player_id,player_name,specific_position,specific_position_consistency_at5,topk_neighbors,topk_neighbor_categories
36,T. Alderweireld,CB,1.0,"M. Musacchio, M. Ginter, A. Mandi, L. Koscielny, Wallace","CB, CB, CB, CB, CB"
48,J. Vertonghen,CB,1.0,"N. Moisander, S. Umtiti, A. Laporte, P. Kimpembe, Sergio Ramos","CB, CB, CB, CB, CB"
54,C. Eriksen,CAM,0.6,"L. Stindl, K. De Bruyne, R. Nainggolan, Y. Benzia, V. Birsa","ST, CAM, CM, CAM, CAM"
74,R. Klavan,CB,1.0,"P. Kimpembe, Ö. Toprak, K. Koulibaly, Fontàs, Jordi Amat","CB, CB, CB, CB, CB"
77,N. Moisander,CB,1.0,"J. Vertonghen, J. Morel, Bigas, Z. Feddal, P. Djilobodji","CB, CB, CB, CB, CB"
93,J. Guðmundsson,RW,0.8,"M. Ritchie, A. Hahn, M. Antonio, E. Kachunga, B. Bourigeaud","RW, RW, ST, RW, RW"
102,Marcelo,CB,1.0,"A. Rami, K. Glik, David López, Luis Hernández, J. Bruma","CB, CB, CB, CB, CB"
107,E. Pieters,LB,0.8,"Rubén Duarte, Danilo Avelar, B. Martella, Dani Castellano, F. Mattiello","LB, LB, LB, LB, LW"
110,J. Willems,LB,0.8,"J. Roussillon, V. Bessat, R. Bertrand, D. Rose, P. Max","LB, LW, LB, LB, LB"
114,K. Strootman,CM,0.8,"J. Draxler, T. Carroll, P. Lasne, Thiago Alcântara, M. Brozović","LW, CM, CM, CM, CM"
116,G. Wijnaldum,CM,0.8,"P. Pogba, S. Kagawa, A. Guardado, Thiago Alcântara, N. Keïta","CM, CAM, CM, CM, CM"
118,M. Depay,LW,0.6,"A. Gómez, A. Rebić, H. Çalhanoğlu, A. Martial, T. Inui","ST, ST, LW, LW, LW"
122,D. Mertens,ST,1.0,"T. Deeney, Álvaro Morata, H. Kane, E. Džeko, E. Berggreen","ST, ST, ST, ST, ST"
123,O. Toivonen,CAM,0.0,"V. Ibišević, P. Iemmello, L. Traoré, G. Pazzini, A. Sanabria","ST, ST, ST, ST, ST"
130,S. de Vrij,CB,0.8,"K. Vogt, Hilton, L. Ceppitelli, David Luiz, L. Sané","CB, CB, CB, CB, LW"
132,T. Kongolo,LB,1.0,"Fernando Navarro, P. Dummett, B. Dibassy, S. Souprayen, Danilo Avelar","LB, LB, LB, LB, LB"
134,B. Martins Indi,CB,1.0,"Bruno, G. Maripán, J. Vuković, A. Ogbonna, Ahmed Hegazy","CB, CB, CB, CB, CB"
151,J. Guidetti,ST,1.0,"D. Selke, F. Di Santo, Guerrero, E. Ünal, S. Jovetić","ST, ST, ST, ST, ST"
159,J. Gouweleeuw,CB,1.0,"C. Kerbrat, J. Giraudon, C. Yamberé, K. Théophile Catherine, Diego Llorente","CB, CB, CB, CB, CB"
160,D. Janmaat,RB,1.0,"T. Gebre Selassie, J. Korb, L. Dubois, F. Guilbert, J. Martins-Pereira","RB, RB, RB, RB, RB"
173,R. van La Parra,LW,1.0,"Álex Berenguer, Chory Castro, N. Redmond, Ivi, A. Szymanowski","LW, LW, LW, LW, LW"
174,F. Đuričić,CAM,0.2,"J. Obi, N. Amiri, J. Pastore, J. Draxler, T. Carroll","CM, CAM, CM, LW, CM"
179,L. Narsingh,RW,0.6,"Iván Alejo, C. Quaner, M. Cornet, C. Kouakou, M. Phillips","RW, ST, RW, ST, RW"
192,J. Vuković,CB,1.0,"N. Pallois, C. Kabasele, G. Maripán, C. Clark, F. Acerbi","CB, CB, CB, CB, CB"
254,R. Rosales,RB,1.0,"K. Naughton, Mario, Hugo Mallo, L. De Silvestri, P. Verhaegh","RB, RB, RB, RB, RB"
262,L. Fer,CM,1.0,"J. Livermore, S. McTominay, Y. Tielemans, Y. Bissouma, A. Acquah","CM, CM, CM, CM, CM"
284,M. van der Hoorn,CB,1.0,"P. Lienhart, V. Selimovic, F. Romagna, B. Salamon, F. Sørensen","CB, CB, CB, CB, CB"
340,Cuco Martina,LB,1.0,"Javi Manquillo, P. Dummett, B. Martella, F. Tabanou, C. Traoré","LB, LB, LB, LB, LB"
370,V. van Dijk,CB,1.0,"N. Otamendi, Ö. Toprak, M. Hummels, J. Vestergaard, João Miranda","CB, CB, CB, CB, CB"
