player_id,player_name,specific_position,specific_position_consistency_at5,topk_neighbors,topk_neighbor_categories
36,T. Alderweireld,CB,1.0,"M. Ginter, R. Varane, Unai Núñez, J. Boateng, A. Mandi","CB, CB, CB, CB, CB"
48,J. Vertonghen,CB,1.0,"N. Moisander, Íñigo Martínez, W. Hoedt, A. Laporte, Z. Feddal","CB, CB, CB, CB, CB"
54,C. Eriksen,CAM,0.4,"G. Kakuta, M. Özil, Joan Jordán, G. Ramírez, R. Nainggolan","ST, CAM, CM, CAM, CM"
74,R. Klavan,CB,1.0,"Jemerson, J. Morel, K. Rekik, Sidnei, P. Jones","CB, CB, CB, CB, CB"
77,N. Moisander,CB,1.0,"J. Morel, A. Romagnoli, W. Hoedt, J. Vertonghen, A. Laporte","CB, CB, CB, CB, CB"
93,J. Guðmundsson,RW,1.0,"M. Ritchie, A. Candreva, A. Townsend, José Callejón, Malcom","RW, RW, RW, RW, RW"
102,Marcelo,CB,1.0,"K. Glik, Unai Núñez, M. Ginter, N. N'Koulou, Luis Hernández","CB, CB, CB, CB, CB"
107,E. Pieters,LB,1.0,"B. Martella, C. Daniels, Danilo Avelar, Rubén Duarte, K. Gibbs","LB, LB, LB, LB, LB"
110,J. Willems,LB,1.0,"B. Davies, A. Kolarov, José Ángel, C. Günter, R. Bertrand","LB, LB, LB, LB, LB"
114,K. Strootman,CM,0.6,"Thiago Alcântara, Gabriel, S. Milinković-Savić, J. Draxler, H. Aouar","CM, CAM, CM, LW, CM"
116,G. Wijnaldum,CM,0.6,"Borja Valero, P. Pogba, N. Keïta, M. Dembélé, Dani García","CAM, CM, CM, CM, CDM"
118,M. Depay,LW,0.8,"A. Gómez, P. Sisto, H. Çalhanoğlu, L. Insigne, M. Gradel","ST, LW, LW, LW, LW"
122,D. Mertens,ST,1.0,"L. Suárez, F. Quagliarella, C. Immobile, K. Benzema, Álvaro Morata","ST, ST, ST, ST, ST"
123,O. Toivonen,CAM,0.0,"M. Balotelli, Maxi Gómez, V. Ibišević, Y. Ōsako, E. Rivière","ST, ST, ST, ST, ST"
130,S. de Vrij,CB,1.0,"Hilton, K. Vogt, M. Caldara, David Luiz, L. Ceppitelli","CB, CB, CB, CB, CB"
132,T. Kongolo,LB,0.6,"Rubén Duarte, L. Hernández, Danilo Avelar, R. Bensebaini, Fernando Navarro","LB, CB, LB, CB, LB"
134,B. Martins Indi,CB,1.0,"A. Ogbonna, F. Acerbi, C. Kabasele, J. Vuković, Chema","CB, CB, CB, CB, CB"
151,J. Guidetti,ST,1.0,"K. Volland, Rodrigo, Roberto Firmino, S. Haller, L. Stindl","ST, ST, ST, ST, ST"
159,J. Gouweleeuw,CB,1.0,"Diego Llorente, M. Veljkovic, A. Mariappa, K. Théophile Catherine, L. Koscielny","CB, CB, CB, CB, CB"
160,D. Janmaat,RB,1.0,"Hugo Mallo, K. Naughton, Juanfran, F. Chafik, J. Korb","RB, RB, RB, RB, RB"
173,R. van La Parra,LW,1.0,"Chory Castro, A. Thomasson, I. Perišić, T. Inui, M. Gradel","LW, LW, LW, LW, LW"
174,F. Đuričić,CAM,0.0,"S. Milinković-Savić, M. Hamšík, P. Zieliński, H. Aouar, K. Strootman","CM, CM, CM, CM, CM"
179,L. Narsingh,RW,0.8,"Jesús Navas, Lucas Vázquez, B. Traoré, A. Gonçalves, Iván Alejo","RW, RW, RW, CM, RW"
192,J. Vuković,CB,1.0,"N. Pallois, A. Gamberini, B. Mee, C. Jullien, A. Hack","CB, CB, CB, CB, CB"
254,R. Rosales,RB,1.0,"O. El Hajjam, Hugo Mallo, P. Verhaegh, B. Bereszyński, Cédric Soares","RB, RB, RB, RB, RB"
262,L. Fer,CM,1.0,"P. Schiattarella, J. Livermore, L. Lerager, L. Modrić, M. de Roon","CM, CM, CM, CM, CM"
284,M. van der Hoorn,CB,1.0,"Ramalho, C. Kerbrat, J. Koundé, Rafael Tolói, T. Cionek","CB, CB, CB, CB, CB"
340,Cuco Martina,LB,0.6,"E. Seka, Javi Manquillo, D. Brosinski, A. Young, F. Mattiello","CB, LB, LB, LB, LW"
370,V. van Dijk,CB,1.0,"F. Fazio, J. Gnagnon, Ö. Toprak, J. Vestergaard, N. Otamendi","CB, CB, CB, CB, CB"
382,Suk Hyun-Jun,ST,0.8,"Munir, G. Sio, Jorge Molina, K. Volland, J. Rodriguez","ST, ST, ST, ST, CAM"
383,D. Tadić,CAM,0.0,"M. Politano, J. Bamba, Munir, Felipe Anderson, A. Delort","LW, RW, ST, RW, ST"
394,B. Nuytinck,CB,1.0,"Sergi Gómez, R. Knoche, F. Lejeune, L. Perrin, Ximo Navarro","CB, CB, CB, CB, CB"
454,P. van Aanholt,LB,1.0,"A. Masina, A. Young, Aarón, C. Daniels, Danilo Avelar","LB, LB, LB, LB, LB"
466,D. Pröpper,CM,0.6,"Y. M'Vila, R. Freuler, Thiago Maia, R. Mandragora, A. Bertolacci","CDM, CM, CDM, CM, CM"
471,W. Bony,ST,0.8,"Y. Poulsen, Gerard Moreno, M. Gómez, E. Ünal, Raúl García","ST, ST, ST, ST, CAM"
625,M. de Roon,CM,0.6,"L. Lerager, E. Skhiri, S. Khedira, P. Schiattarella, A. Zambo Anguissa","CM, CDM, CM, CM, CDM"
